label	document
0	하지만 가이드는 황실이 있던 이곳은 늘 커튼이 쳐져 있었을 것이라고 한다
0	주로 전기로 안을 환하게 밝혔을 것이라고
0	본래 황궁의 커튼은 늘 걷어져 있는 것이 아니라고 한다
0	거울이 달린 끝 쪽의 문은 가짜 문이다
0	문을 열면 벽면이 있는데 이 또한 신고전주의 양식 때문이라고 한다
0	대칭을 위해 가짜 문을 만든 것이라고
0	아래로 중앙 홀과 첫 관람 대상인 테이블이 보인다
0	바로 옆의 건물은 석조전 서관이다
0	현재는 국립현대미술관으로 사용하고 있다
0	대식당이다
0	실제로 사용하던 그릇들은 아니라고
0	실제로 사용하던 그릇은 박물관에 전시되어 있다고 한다
0	이곳의 음식 수준은 꽤 높았다고 전해진다
-1	아쉽지만 소식당 또한 특별전으로 관람이 제외된 곳 중 하나인 듯
0	운치 있었는데
0	색상 때문인지 식기 때문인지 식당이 유난히 밝아 보인다
0	석조전의 외관 기둥은 이오니아 양식을 가져왔다
0	열주식 기둥과 엄격한 비례 그리고 완벽한 대칭
0	삼각형 구조로 된 지붕에는 대한제국을 상징하는 오얏꽃이 있다
0	야경까지 볼까 고민을 했는데 관람이 끝나도 너무 밝아서 포기함덕홍전 뒤에서 찍은 듯측면에서 보는 중화전이다
0	내 나름의 포토 포인트이기도 하다
0	섬네일
0	지난 주말 캐논   일명 육두막이라 불리우는 카메라와 함께 덕수궁 나들이에 나섰다
0	간만에 맞이하는 파란 하늘
0	주말인데 집에 있을 수가 있겠는가
0	시청역에 내린 후 근처 버거킹에서 허기를 채운 뒤 바로 출사지를 향해 나섰다
0	 를 사용했다
-1	짜증나는 상황
-1	날씨가 조금 더워서 그런지 사람들이 없더라
1	간간이 지나가는 몇몇을 제외하면 고즈넉한 시간을 보낼 수 있었다
0	석조전 측면의 모습
-1	다들 사진 찍느라 바쁘다
0	커플들이 데이트 하느라 정신이 없다
0	나도 저런 때가 있었지
0	그늘을 이용해 촬영해본 사진
0	거친 돌의 질감이 그대로 살아난다
0	 렌즈의 화각은 풍경 사진 찍기에 적합한 것 같다
0	모든 풍경 사진은 아니고 이렇게 공간이 한정적인 곳에서 빛을 발하는 것 같다
0	분수 정원의 풍경도 모든 이의 시선을 이끄는 곳이지
0	간간히 촬영한 접사 사진
1	작은 꽃이 어찌나 이쁘던지
0	셔터를 아끼지 않고 촬영했다
0	광각과 표준 화각의 접사 느낌은 이렇게 다르다
0	바람 결에 흔들려 선명한 사진을 얻기가 쉽지 않았지만 결국 몇 장 얻어 내서 올려본다
0	석조전 앞에서 촬영한 꽃 사진
0	 의 역광 촬영 위력을 세삼 느끼는 순간이다
0	태양과 마주한 순간에도 정신 바짝 차리고 피사체를 담아냈다
0	캐논 육두막을 본격적으로 사용한지 얼마 되지 않았지만 이 녀석 색감이 정말 맘에 든다
0	별도의 보정이 없는데 피사체의 색을 잘 담아준다
0	요즘 육두막 만원 정도 하는데 가격이 너무 착해서 하나 갖고 싶은 욕심이 난다
0	회사 카메라라 빌려 쓰는 게 불편하기도 하고
0	중화전과 중화문
0	품계석이 쫙 놓여 있는게 인상적이다
0	파란 하늘 아래 놓인 풍경 하나하나가 시선을 사로 잡았다
0	역시 하늘이 좋을 때 멀리 나갈 수 없다면 궁을 찾는 게 좋은 것 같다
0	지난 주말 캐논  육두막과함께한덕수궁나들이는 개인적으로 꽤 성공적인 것 같다
0	다음엔 식구들끼리 와야지
0	방학과 휴가가 겹친 시기여서인지 가족단위 아이들과 부모님의 방문이 많아 보였다
0	물론 외국인 관광객도 꽤 있었다
-1	더운 여름날 
0	노을이 예쁘게 지길 바라며 걸어 본다
0	도심속의 고궁투어
0	현대식 건축물과 잘 어우러지는 덕수궁 나들이
0	선선한 가을날인 지금
0	다시 가고 싶은 곳 중 하나다
0	서울특별시 중구 세종대로 덕수궁 다음주 월 일에 덕수궁에서 정동야행이라는 행사가 열리나 보다
0	자세한 사항은 아래 덕수궁 링크를 통해 확인해보세요
0	공지사항 언론보도 발간자료 자주 묻는 질문 공지사항 공지 채용 행사 알림 정동야행 관련 덕수궁 운영 안내
0	작성자 덕수궁관리자 등록일 조회 서울시 주관의 정동야행
0	덕수궁 운영 사항 덕수궁 야간 개방 일정 시까지 개방 대한제국 석조전 역사
0	대한문 앞을 지나다닌 적은 많은데문 안으로 들어가본 적은 몇 번 없다는 사실이 문득 떠올랐던 순간
0	천원의 행복
0	하늘도 푸르고 나무도 푸르네
0	멀리서 온 방문객을 반겨주는 노란 녀석들
0	떨어진 꽃잎들이 발길을 멈추게 만들었다
0	애틋하거나 애잔하거나
0	연두색으로 물든 나무들
0	길가에 핀 노란 꽃들의 정체는
0	황매화였다
0	전각을 둘러보기 위해 중화문 쪽으로 이동했다
0	중화전의 정문인 중화문
0	년에 건립됐으나 년에 화재로 소실되어 다시 세웠다고 한다
0	중화문 안으로 들어가니
0	덕수궁의 정전인 중화전이 나타났다
0	품계석이 세워진 앞뜰을 가로질러
0	중화전 안쪽을 둘러본 다음
0	석어당이 있는 곳으로 걸어갔다
0	단청을 하지 않은 석어당은 덕수궁에 있는 유일한 중층 목조건물이다
0	그냥 보고 있는데도 엿보는 것 같은 느낌이 드는 이유는 무엇인가
0	안에 갇혀 있으면 못 나올 듯
0	다리만 길어진 그림자
0	궁에 있으면 서울 한복판에 있다는 사실을 종종 잊게 된다
0	전각 뒤쪽에 있는 작은 산책로를 걷다가
0	아직 떨어지지 않은 분홍 벚꽃을 발견했다
0	고개를 쳐들고 하염없이 바라보다 목에 담 걸릴 뻔
0	여기까지 와서 석조전을 안 볼 순 없지
1	오후의 빛이 내려앉은 고요한 복도
0	침묵에 잠긴 풍경을 잠시 응시했다
1	유럽에 있는 느낌
0	하지만 난 이런 풍경이 더 좋음
0	준명당 즉조당 석어당
0	준명당은 덕혜옹주 교육을 위해 유치원으로 사용하기도 했다
0	다시 작은 산책로를 지나
0	동서양의 양식을 혼합해서 지은 정관헌으로 갔다
0	정관헌 내부
0	얼핏 보기엔 비슷한데 정작 똑같은 공간은 하나도 없었다
0	세수하러 왔다가 물만 먹고 가는 참새
0	하마터면 그냥 지나칠 뻔했던 연못
0	비 오는 날 와도 좋을 듯
0	가을에 다시와야겠다고 다짐하면서한가로웠던 덕수궁 나들이를 마무리했다
0	방학을 맞이하여소학생 무찬이와 덕수궁 나들이를 다녀왔습니다 장소는 덕수궁
1	입장료 천원의 저 아름다운 가격
1	이런 멋진 곳을 단돈 천 원으로 누리다니
1	정말 행복합니다
0	덕수궁 입장 후 제일 먼저 한 일은
0	덕수궁 안 카페 돌담길 방문입니다
0	이미 교보문고에서 불타는 시간을 보낸지라 다리가 아팠거든요 돌담길은 제가 좋아하는 장소 중 하나입니다
0	바람 솔솔 부는 가을엔 운치가 더 있지요 양탕국 한 잔으로 카페인 지수를 높여봅니다
0	고종이 정관헌에서 가배를 즐기셨다는데 저도 한 번
0	바쁘지만 가는 길에 기념 사진도 한 장 찍어줍니다
0	두근두근 석조전 입장
0	명 정도 예약가능한 걸로 아는데막상 가보니 명만이 똭
0	이론이론 석조전은 년대에 지은 건물이라고 합니다
1	그래서인지 인테리어가 화려하고 고급스럽습니다
0	이곳을 왕의 침실
0	왕을 위해 번쩍번쩍
0	여기는 왕비의 침실
1	포도주 색이 매우 우아한 느낌을 줍니다
0	그래두 이제 새벽 출근은 오늘로 한동안 끝임 원래 일주일 넘게 진행했다는데 파트장님이 이틀만 하자며
-1	오전 근무하니 하루가 길지만그만큼 피곤함이 누적되는듯
-1	한쪽 구석에 셀로판 같은거 주렁주렁 매달아 놨는데
-1	이게 뭐야
-1	야속한 세월아 서울특별시 중구 세종대로 덕수궁
0	학교 다닐때 버스타고 많이 지나다녔던 곳인데참 많이 변했어요
0	덕수궁에 입장하기 전간단하게 브런치를 먹기로 했어요
0	아는 곳이 별로 없어 다른 모임에서 만나는 언니와 함께 갔던 곳으로 가리고 했지요
0	돌담길 따라 올라갑니다
0	가는 동안 멀다고 구박 아닌 구박을
1	맛있어 보여 케잌과 브런치들
0	도심 한가운데 전혀 다른 세상이 존재하는 듯한 느낌이 드는 곳이지요
0	서양식 건물과 전통적인 건물이 함께 있는 곳이라다른 궁에선 느끼지 목했던 독특함을 본 듯해요
0	가을 끝무렵이라 낙엽이 지고 있었지요
0	생각보다 덕수궁 나들이는 일찍 끝났어요
0	옛날 피맛골 골목쪽으로 옮겨 가 마저 수다를 떨고이른 저녁먹고 헤어졌답니다
0	선물로 받은 아이들과 함께
-1	덕수궁은 일제시대의 시작을 알리는 것 같아좀 우울했어요
1	저는 개인적으로 창덕궁 후원이 제일 좋네요
0	기록용으로 담아놓은 사진이라 설명 없음을 이해 부탁드려요
0	덕수궁나들이
1	서울 가을 나들이 덕수궁 정동전망대 카페 다락유독 서울에 있는 궁 중에서 나는 덕수궁을 좋아한다
0	매 계절이 바뀔 때마다 가려고 노력하고 있고 특히 가을엔 꼭 가려고 한다
0	노란색 주황색 빨간색 색색깔 단풍 옷을 입은 나무들이 정말 예쁘다 유명한 덕수궁 돌담길 또한 볼 수 있다
0	사람들이 지나가는 모습까지 보이는 정동 전망대는 층에 위치한다
0	시청도 보이고 시청 앞 광장도 보인다
1	단풍이 정말 빼곡하게 예쁘게 물들었다
0	고층빌딩 사이로 광화문도 슬쩍 보인다
0	시위하시는 분들의 행렬도 쓰윽 알아볼 수 있다
0	정동 전망대를 내려오면 덕수궁 돌담길을 바로 만날 수 있다
1	이렇게 오랜만에 찾으니 못 보던 조형물들도 생기고 조금은 색다른 느낌을 받을 수 있었습니다
-1	한참 서치를 했다
-1	번들로도 열심히 버티고 있따
1	좋았던 순간
0	석조전
0	일전에 방문했을 때는 보수 공사 중이라 가림막에 가려져 있었는데 이번에야 말로 온전한 모습을 볼 수 있었다
-1	다만 내부 관람은 신청을 미리 했어야 하는 부분이라 하지 못했다는 게 아쉬웠다랄까
0	석조전에서 보이는 덕수궁 모습들이 궁금한데 말이다
0	그리고 뜻 밖의 행운이랄까
0	국립현대미술관이 덕수궁 안에 있는 줄은 알았지만 매월 마지막주 수요일이라 혜택을 보게 될 줄이야
0	년 부터 현재까지의 미술과 사회에 대한 전시가 광장이라는 주제로 이뤄지고 있었다
0	딱딱하고 어려운 전시품만 있는 게 아니라 영상 미디어 작품도 있고 일상생활에 가까운 전시물도 많았다
0	중화전
0	황제라 칭하고 년 전통에 기대어 발버둥친 역사의 현장
0	작지만 옹골차게 지어놓은 중화전
0	세상의 중심에서 평화를 바라는 마음에서 였을까
0	그 앞 넓지 않은 마당에 관직을 세겨 놓은 비석들이 옹기종기 모여있다
0	문무대신들은 가깝게 모여서서 뭐라 수근거렸을까
0	서울특별시 중구 세종대로 덕수궁
-1	물론 마스크 착용은 필수이고 전시관 관람은 인원제한 및 출입명부 작성등 필수사항이 있습니다
-1	단 홈페이지 사전예약이 필요한데 회차당 명 인 예약가능인원 명 현장예약은 불가합니다
-1	다음에는 꼭 미리 예약해봐야겠습니다
1	울퉁불퉁한 껍질과 뒤틀림 그리고 궁궐담을 넘는 푸르름에살구나무의 유구함에 매료됩니다
0	년 월 일에 사적 제 호로 지정되었습니다
0	정말 오랜만에 덕수궁 나들이를 하게 되었습니다
0	가는 시간에 우연히 덕수궁에서 열리는 수문장교대식을 하고 있었습니다
0	대한문은
0	운동 당시 대한민국만세를 외친 곳이기도 합니다
0	오랜만에 다시 찾은 덕수궁에서 초록의 싱그런움을 느낄 수 있어서 좋았습니다
0	년 월 일 보물 제 호로 지정
0	중화전은 정면 칸 측면 칸 단층의 다포계 팔작지붕
0	년 창건 당시에는 층 건물이었으나 년 화재로 소실되고 년 단층으로 중건
0	가을에 오면 더욱 멋진 덕수궁이지만푸르름이 있으니 그 또한 좋네요
0	오랜만에 다시 본 덕수궁에서 또 다른 멋짐을 볼 수 있어서너무 좋은 시간 보내고 왔습니다
0	올해 가을에는 덕수궁에 다시 와서 가을날의 덕수궁도 보고 싶네요
-1	제주는 장마가 시작되었습니다
-1	그래서 비가 자주 오고 있어 몸도 마음도 상쾌하지 않을 수 있습니다
0	하지만 날씨는 날씨일뿐이니 이웃님들 모두 행복한 하루 시작하세요
0	서울 중구 소공동 전화
0	날 좋은 날 친구랑 덕수궁 나들이 친구랑 오랜만에 서촌 을 방문하기로 했다 브런치도 즐기자며 웬일로 낮에 만남
0	가는 길에 본 캐나다국기
0	캐나다대사관
0	사진 인증만 찍고
0	그리고 덕수궁석조전 가볼라했는데 덕수궁월요일휴무
0	 갈 곳 잃은 우리는 경복궁쪽으로 걷기로 했다 오랜만에 광화문 투어
-1	날이 좀 흐려서 더 좋았던 해가 쨍쨍하면 아무래도 너어무 더우니깡 나 야야 잘 오고있어이지만 제가 어딜가든 길잡이이거든여
-1	아주 조금 그런 아련한 생각에 잠겼습니다 그러나 저러나 진짜 더위에전 빨리 이 곳을 떠나고 싶었고
0	덕수궁은 역사적으로 우리 힘으로 직접 자주 국가를 만들어가는 과정이 그대로 남아있는 곳이다
0	이에 일제가 조선의 개화를 앞당겼다는 망언을 막을 수 있는 중요한 역사적 공간이기도 하다
0	그래서인지 우리가 더 관심을 가져야 한다는 생각이 들었다
0	그리고 덕수궁에 대한 공부가 필요하기에 덕수궁 홈페이지에서 퍼 온 덕수궁 이야기도 여기에 더해본다
1	여긴 또 가고 싶은 곳이다
1	무엇보다 나는 참 행복한 세상에 살고 있는 것 같다
1	여러모로 참 뜻깊은 덕수궁 나들이였다
1	아이참 덕수궁 나들이는 가족과 함께해 더 좋았을 수도 있다
1	덕수궁 나들이 지난 추석연휴에 제 블로그 전속모델인 외손자 동준 외손녀 소민이와 박 일 서울 나들이를 했습니다
0	아침저녁으로 쌀쌀한 바람에 전기매트를 꺼내게 됩니다
0	두께있는 외투를 챙겨 입고 나선 후 낮에는 좀 더워지긴 합니다
0	자연스레 외투를 벗고 다니게 된다능
0	오늘 낮에는 덕수궁을 가보았습니다
1	파란 하늘과 구름 시원한 바람
1	굉장히 기분 좋은 날이었습니다
0	서울시청 쪽에 일이 있어 가보았는데 근처에 덕수궁이 있더군요
-1	그걸 본 후 같이 가신 분이 어 저기 결제하는 게 있어요 하여 줄을 이탈하니진짜 됨
1	넘나 좋더군요북경에 가면 천안문을 가듯이 한국에 오면 경복궁 창경궁 덕수궁
-1	외국인들이 참 많았습니다
0	혼자서도 이런 공원에 자주 오긴 하는데 오늘은 같이 올 분이 있었습니다
0	쉽게 말해 임금님이 여러 가지 야외 파티를 하던 장소라고 합니다
0	외국사절단도 있을 테고 공무원들 격려도 있을 테고 말이죠
0	마당에는 계급순으로 서있으라고 표식이 세워져 있습니다
0	바로 이렇게 말이죠
1	정말 하늘이 파랗네요
0	노트 플러스입니다
1	이거 풍경 사진 잘 나오네요
0	같이 간 분과 이곳을 거닐며 이리저리 구경했습니다
0	짧은 시간이었는데 아주 즐겁네요
0	스마트폰 배경화면 각입니다
0	더워서 외투는 벗었습니다
0	가운데 빨간 바지 아저씨가 외국인이었는데
-1	그 분만 없었으면 기가 막힌 풍경 사진을
0	찍을 수도
0	외국인 아저씨 비키고 그 안쪽입니다
0	눈으로 보면 매우 어두운 상태인데 역쉬이 노트 플러스대낮처럼 밝게 알아서 찍어 주네요그림자에 나타난 방문객들
0	중화전 입구 바닥 쪽입니다
0	들어가지는 못합니다
0	콘셉트 사진 찍어봤는데 나름 괜찮습니다
0	제목 도심 속의 전통ㅈㄹ
0	중화전 뒤편으로 가서 전체를 조망하니 그림이 죽입니다
0	좌측으로는 석조 전시관과 덕수궁 대한 제국 역사관이 보입니다
0	어쨌든 날씨는 죽인당
1	노래는 좋드아
0	덕수궁 관광객들도 많고 가을이 되니 센티해집니다
0	같이 갔던 분도 즐겁게 구경해 주심에 감사드립니다
0	요거는 화재 발생 대비해서 물을 담아 둔 곳이라 합니다
0	지금은 물을 담아 둘 필요는 없으니 샤머니즘 차원으로다가 전시용으로 관람하게끔 하는 듯
0	앗 참 오늘 덕수궁 위로 헬기들이 왔다리 갔다리 하는 것을 보았는데 다음과 같은 내용입니다
0	오늘도 날씨가 너무 좋습니다
0	역시 계절의 여왕 월답네요
0	월초 연휴에 서울 나들이 했던 사진들 입니다
0	오랜만에 덕수궁 구경도 하고돌담길도 걷고 했습니다
0	휴일 오전에라 한산합니다
0	덕수궁을 중심으로 걸을 수 있는정동 거리길을 잘 정비해 놓은 것 같네요
0	다음엔 코스별로 답사 해봐야겠습니다
0	청명한 날씨에 길이 정말 이쁩니다
0	이 길을 매일 걸어서 출퇴근하는 사람들은정말 좋을 것 같네요
0	이화여고가 백년도 넘은 학교군요 도심 한 가운데 이렇게운치 있는 길이 있다니참 복받은 도시입니다
0	그것도 말도 안되는영어로
-1	참나원
-1	여름엔땡볕에 그늘도 없어서 더무 더워요
-1	추석 연휴 첫 날 갔는데무료입장이더라구요
1	커피 마시니 너무 좋더라구요
1	다른 문들과는 달리 벽돌무늬로 아름답게 지어진 문이에요
1	서예를 하시거나 관심 있는 이웃님들께서는시간 나는 대로 가셔서 감상해 보세요
1	천자문의 글자가 투과되면서 물방울의 영롱함을 강조해 준다
1	참 예뻤어요
1	하
-1	사실은 덕수궁엘 가을을 만나고 싶어 찾았던건데
-1	초록이 더 짙어 살짝 아쉽긴 했지만
-1	다음주에 행사가 많아서 다음주에 사람들이 더 많이 몰릴 듯 하다
-1	여기도 원래 들어가서 볼 수 있는데 행사준비중이라 못들어갔다
-1	사람들로 엄청 붐비던 곳이다
-1	오늘따라 구름한 점없이 날씨 좋은 서울 하늘
1	미세먼지도 없고 해는 쨍쨍
1	심쿵은 잽싸게 친구 추가했지만 이미 여러 공연이 매진되었더라고요
-1	해에 불타 그해 다시 지었다한다
-1	내 마음의 힐링을 시켜줄 만한 곳을 찾아갔는데요
1	여기저기 피어 있는 꽃을 구경하는 재미도 상당히 쏠쏠했습니다
1	너무 보기 좋았네요
1	시대가 참 좋아졌습니다
-1	이번에는 아쉽게도 돌담길 포스팅은 없어요
1	근데 덕수궁 너무 좋았어요
1	날씨가 너무 화창한 요즘
1	왠지 뿌듯
1	은행잎 떨어지기 전에 한번더 와야겠다
1	석조전서양의 라인도 훌륭하다
-1	하긴 산에 오르기엔 넘 삭막하게 춥다
-1	안으로 들어가면 눈싸움 등 몇가지 가상체험을 할 수 있는데 시간 정도 예약이 밀려있었다
-1	그래서 야외 체험만 했다
-1	엉덩이 차갑게
-1	추웠다
-1	국보치곤 정말 추운 대접을 받고 있는 듯
1	넘 멋졌습니다
-1	궁 나들이야 언제가도 좋지만 이 날은 하늘이 흐려 좀 아쉬웠다
1	좋네요 기획전시중인 지하철 호선 전시공간으로 들어가 보시죠 자세한 내용은 직접 놀러가 보세요
-1	전시회가 이번 주말로 끝나서 그런지 사람 참 많았다
1	그래도 보길 잘했다는 느낌
-1	뒷모습만 보면 누가 언니고 동생인지 구분이 안 가는군
1	층 테라스 너무 좋다
1	딱 좋을때 잘 다녀온 샘이다
1	따뜻한 주말이라 사람들로 가득하다
1	우리 동네도 단풍이 제법 괜찮다
1	다들 기다렸다가 요기서 찰칵찰칵 전시회 간단히 둘러보고 덕수궁 산책 벚꽃이 넘 예쁘게 피었다
1	가깝고 경치 좋고 운치 있고 좋아요
1	공휴일과 일요일엔 완전 무료입니다
1	경쟁이 세던데 저희는 운 좋게 바로 주차했어요
-1	일요일이라 사람이 많이 붐볐어요
-1	무슨 무용회 같은 것도 하고 있어서 더욱 사람 많았구요
0	하지만 석조전 뒤편으로 들어가면 한산한 편이더군요
0	덕수궁 나와서 돌담길 잠깐 산책
0	단풍이 정말 곱게 들어서 경치가 아주 아름다웠어요
0	카메라 들고 나오신 분들 많더군요
0	시청앞 광장도 잠깐
